time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/20:03:10.087948,0,190,0,GPS1_Frame,42.338744,-71.08843916666666,9.5,327957.17923300236,4689499.983406716,5,19,T
2022/10/06/20:03:11.088646,0,191,0,GPS1_Frame,42.33874416666666,-71.08843983333333,9.3,327957.1247661427,4689500.003262684,5,19,T
2022/10/06/20:03:12.082501,0,192,0,GPS1_Frame,42.33874383333333,-71.08844016666667,9.2,327957.0963963533,4689499.966923002,5,19,T
2022/10/06/20:03:13.088635,0,193,0,GPS1_Frame,42.33874266666667,-71.08844016666667,9.2,327957.09321454325,4689499.837373534,5,19,T
2022/10/06/20:03:14.085226,0,194,0,GPS1_Frame,42.33874183333334,-71.08844016666667,9.1,327957.0909418218,4689499.7448382,5,19,T
2022/10/06/20:03:15.090119,0,195,0,GPS1_Frame,42.33874083333333,-71.08844016666667,9.1,327957.08821455605,4689499.633795797,5,19,T
2022/10/06/20:03:16.081212,0,196,0,GPS1_Frame,42.33874000000001,-71.08844033333334,9.0,327957.07221148344,4689499.541597689,5,19,T
2022/10/06/20:03:17.088708,0,197,0,GPS1_Frame,42.33873833333334,-71.08843983333333,9.0,327957.10885709536,4689499.355515344,5,19,T
2022/10/06/20:03:18.084858,0,198,0,GPS1_Frame,42.33873616666666,-71.08843966666667,9.1,327957.1166783732,4689499.114586248,5,19,T
2022/10/06/20:03:19.093138,0,199,0,GPS1_Frame,42.33873416666667,-71.08843916666666,9.2,327957.1524149035,4689498.891489769,5,19,T
2022/10/06/20:03:20.094850,0,200,0,GPS1_Frame,42.338733166666664,-71.08843933333333,9.2,327957.1359572867,4689498.780784592,5,19,T
2022/10/06/20:03:21.087690,0,201,0,GPS1_Frame,42.338732666666665,-71.0884395,9.2,327957.1208632996,4689498.725600617,5,19,T
2022/10/06/20:03:22.090784,0,202,0,GPS1_Frame,42.33873233333334,-71.08843933333333,9.3,327957.1336845666,4689498.688249259,5,19,T
2022/10/06/20:03:23.092792,0,203,0,GPS1_Frame,42.338731499999994,-71.08843916666666,9.2,327957.1451421996,4689498.595376699,5,19,T
2022/10/06/20:03:24.091318,0,204,0,GPS1_Frame,42.33873116666667,-71.08843916666666,9.1,327957.14423311164,4689498.558362565,5,19,T
2022/10/06/20:03:25.085258,0,205,0,GPS1_Frame,42.338731333333335,-71.08843866666666,9.1,327957.18587871734,4689498.575857957,5,19,T
2022/10/06/20:03:26.091102,0,206,0,GPS1_Frame,42.33873366666667,-71.08843783333333,9.2,327957.26089409506,4689498.833270769,5,19,T
2022/10/06/20:03:27.085566,0,207,0,GPS1_Frame,42.338734666666674,-71.08843766666668,9.3,327957.2773517098,4689498.943975945,5,19,T
2022/10/06/20:03:28.086198,0,208,0,GPS1_Frame,42.338735,-71.08843766666668,9.3,327957.27826079715,4689498.980990077,5,19,T
2022/10/06/20:03:29.094876,0,209,0,GPS1_Frame,42.338735,-71.0884375,9.3,327957.2919911495,4689498.980652852,5,19,T
2022/10/06/20:03:30.090810,0,210,0,GPS1_Frame,42.338734499999994,-71.0884375,9.3,327957.29062751855,4689498.925131652,5,19,T
2022/10/06/20:03:31.091458,0,211,0,GPS1_Frame,42.3387355,-71.08843433333332,9.2,327957.55423148215,4689499.029766784,5,19,T
2022/10/06/20:03:32.089679,0,212,0,GPS1_Frame,42.338738,-71.0884295,9.1,327957.9592298332,4689499.297593291,5,19,T
2022/10/06/20:03:33.090719,0,213,0,GPS1_Frame,42.33873966666667,-71.088424,9.3,327958.4168768581,4689499.471535594,5,19,T
2022/10/06/20:03:34.086426,0,214,0,GPS1_Frame,42.3387415,-71.08841916666667,9.3,327958.8200569926,4689499.66533388,5,19,T
2022/10/06/20:03:35.090368,0,215,0,GPS1_Frame,42.33874333333333,-71.0884145,9.2,327959.2095067535,4689499.85946941,5,19,T
2022/10/06/20:03:36.091756,0,216,0,GPS1_Frame,42.3387455,-71.08840833333333,9.1,327959.7234387202,4689500.087584113,5,19,T
2022/10/06/20:03:37.090671,0,217,0,GPS1_Frame,42.33874816666666,-71.08840183333334,9.3,327960.2661949593,4689500.370545612,5,19,T
2022/10/06/20:03:38.090666,0,218,0,GPS1_Frame,42.338750499999996,-71.08839549999999,9.4,327960.7943117371,4689500.616830239,5,19,T
2022/10/06/20:03:39.088429,0,219,0,GPS1_Frame,42.33875366666666,-71.08838866666666,9.5,327961.3658921877,4689500.954638586,5,19,T
2022/10/06/20:03:40.090328,0,220,0,GPS1_Frame,42.33875683333334,-71.08838166666666,9.6,327961.95120292954,4689501.292109767,5,19,T
2022/10/06/20:03:41.090425,0,221,0,GPS1_Frame,42.33875966666666,-71.0883745,9.7,327962.54933490034,4689501.592229642,5,19,T
